id	filename	md5	size	state
f27ab57a-4b64-4e8c-a87f-e63ada5613c0	TCGA-E9-A1RH.FA93BDAA-B56E-4217-9022-4EBE6009FCF7.PDF	421ce51c03b020f6a4ff5386b23b24ba	64911	released
ecd92cdb-082e-44b6-8c85-f5583738531e	TCGA-BH-A1FR.B6E6765F-14BC-4D3D-9266-EF8065354070.PDF	4fb78efcccb20c7591328d17f7d6cf15	93826	released
15af5ecb-92c8-4ad2-9061-b658a40dec7a	TCGA-B6-A0RI.F2B21F52-74F4-44C5-9991-60EBCC4E43A6.PDF	fed409493ad3ae2453ca96b14f80246d	102505	released
6af7a670-fb2e-45f9-b0ac-cd3bae307c52	TCGA-A2-A0EU.42649B9A-29D4-4D05-A78C-AC801792ADEB.PDF	e12e7fe1636d332d87a02fe8946f66a2	177069	released
12f9e2e5-4534-4d0d-97d9-1a9252a71ead	TCGA-S3-AA15.DD2B9E47-8C67-4599-B0B6-0D30DE727B55.PDF	520044a47de23af71863c47c7d8a7992	357315	released
3dede6f4-668e-4678-b80c-5aa036180fe6	TCGA-A2-A4S1.041580F0-700A-4A47-83A6-207ED267E844.PDF	7a0f51b8b8330c35406708dbddd370fd	446669	released
5a6d7bb8-c843-4f8f-99e5-2051b52291d4	TCGA-E9-A245.5F2A52E5-2844-4242-8CE4-A87DF9D9C97B.PDF	95c726bd950dcb830653a1cc4b52bfc6	57849	released
b6c85142-0ed7-46fc-b8b2-9f471f0881b1	TCGA-BH-A0HY.E57B4989-102F-44FD-8FB2-0627143FA904.PDF	6b59685e266e02d86f5130ec09f171ce	113390	released
8e24f352-ee34-415c-b3b3-8f40061f5442	TCGA-A7-A13H.642B4B50-E227-4484-904E-E629F7F9DBC1.PDF	0da346fb5f8f1c45cbb3d05ac6219a1f	166706	released
7839321e-a6c4-4481-81aa-69d48c811ca1	TCGA-AO-A125.AE348902-0573-4A57-BBD6-037FA2AF1872.PDF	c61d64708fac2e492135e70be74f02c9	207031	released
62d99c9f-3d98-42cf-9269-1b3fed65bda0	TCGA-AN-A041.26C566AF-C710-4856-AC21-83D73370EA84.PDF	ddd46d88a348513a8448dfdb745f44d4	59191	released
e265395b-75ff-4542-a6d0-2a6ccbb70723	TCGA-BH-A42U.25F791D8-27D6-4DC6-8D96-5D5CF68A5F13.PDF	5a840628572c35d3a552e5f04b12c0f3	137298	released
1dc52e02-9af3-46f9-bd85-a5b8adcc9419	TCGA-BH-A0BC.9714A9F8-B507-43E6-9D56-1852F5D1F675.PDF	7229a278a045b3cab02a271990549e04	105438	released
fa67f42f-6ad7-4cf9-8ef0-345b0ab582be	TCGA-B6-A0I2.CA834E5F-30DC-46CF-AF33-AD11226FC09E.PDF	797c8a1a7bae9becae836f9d97cd5c4b	155266	released
f2790d55-2ecf-47b8-a373-79288954cf64	TCGA-A8-A08T.5780D50C-5BF0-4392-BC9B-894D1369866A.PDF	f0518c753b8ab0d0abec026631d10d24	81874	released
d947bbac-9bbc-4588-9ad7-9060f26195bc	TCGA-E2-A150.5173DB84-EE23-4973-A244-4BB1D79325C9.PDF	848e3c60ddc4dd411a4ccf3c20ccae03	153356	released
5ef89c46-d120-4013-978a-443d9839be89	TCGA-BH-A1ET.E66D3DF8-1605-4EFD-AAFA-74F82366FD16.PDF	bb9e8391ef0a1ccb47bea577172545dc	85686	released
968ec29f-a509-4e6c-b505-c8b9d2b65be0	TCGA-A1-A0SF.1617B36B-4EFB-445E-95BC-E63B129AAAE7.PDF	93a6f44d509df4354e92629a53c1b2fe	624536	released
be7ad45d-05de-4cc8-83d2-3bebaf45d6bd	TCGA-AC-A3W5.CA0CD57E-DA92-463E-A004-D554825A22D6.PDF	6a9125abf56f1856775182143c4aa25e	223634	released
bfbdc2be-28fd-4e0c-82ee-a5fd6c9a9348	TCGA-BH-A0E2.29EDE507-90BA-4ABE-B3EF-559EBA4CCD56.PDF	51e8439e6d5838615302027bd6cbb577	116013	released
d55d9ed9-3663-4538-89e8-0d80e55cc678	TCGA-AN-A0FV.5AEE90E0-A9A1-4944-AD6A-2675764D869D.PDF	caa954d6efa1623e3b8098d82aa97773	51504	released
f4c63d6e-d1b3-4598-820a-57c6b16d70ff	TCGA-AR-A2LK.73FFBADB-37C0-4F17-8C95-F8DC94EF1AD3.PDF	b1db283928d98adecac95210e740eeb4	73170	released
1aad23a2-4546-4993-bef3-402632965429	TCGA-AO-A12D.9363D53D-BC3B-4AC0-8185-536C6DB3A6AE.PDF	1f548fafe0ca62b614d534d14d518be6	198599	released
dc286dcf-24c8-4988-b9ee-63a44386865a	TCGA-AR-A24N.AAF32BB7-716A-4C0E-AE7E-04F6A5BF5628.PDF	431c8879de34ca5ca1728a68f161b415	53291	released
d21d2404-dac1-4659-95ba-51e3fcc79016	TCGA-E2-A14Q.42A1A073-69B4-4A66-A998-BE4366E0C89C.PDF	6fd2cd6415fe0a71c9539e7e5ef7f507	342382	released
0126a9bb-8172-4c8c-b333-4509fe5cddc5	TCGA-OL-A5DA.5049C91E-F4BB-4AA7-BE64-837168189379.PDF	cedcec85753d8343be6dfb1920345ed6	227188	released
d7e1220b-2615-40ee-b66a-6f800e6aced0	TCGA-E2-A154.8F8DCA87-B27A-429C-952A-186F8D4502AE.PDF	4aade09006be2aae9277b2aef638d92f	118877	released
404ed43c-cc78-49f4-bb3e-3761f91fe575	TCGA-BH-A0H5.C350A3BE-1709-427D-8E1D-E0BBA480A56D.PDF	42c7511c55bf5288dcb897e2dbb0f23d	105455	released
7ce664c3-48f5-45ef-95a6-dbaad8bd6c2f	TCGA-BH-A18J.589BC4DD-0079-4106-A2E6-9A48E9BD7DE2.PDF	4feda1f322dac410cdc5922f2b7ec099	82133	released
df632e65-e92c-4e86-b223-276cf759b702	TCGA-AO-A126.A4BFA94D-166F-43D4-90B5-3C547F4026A0.PDF	dd5c2cf7bf866aaf0d2d0c9a71a03f7f	199186	released
908a8c1a-70a9-4fcb-8f2b-6edec7f40f47	TCGA-AO-A0JA.2E8A1816-E963-4063-B2F0-6289514084A5.PDF	84c5c5317a7777e7c7734db677426e34	1527641	released
871c7f4c-2911-493d-a724-6a8d13c4e178	TCGA-E9-A1RG.59D84893-8946-4C5C-A338-3E33A1F7DE00.PDF	e9f7ea18721e3211e592486288068390	67530	released
9e550a27-fd27-4c7c-bae3-65fad2d7ed10	TCGA-WT-AB41.FDB00212-9782-4ACE-AD59-019384297A2F.PDF	8914a35b3a24ac00e7a82781031f0fda	393397	released
98a2e5e6-0b04-466e-bb97-f3ade9672300	TCGA-A7-A13D.6F3784B2-4A75-447C-9EAE-F146461C737E.PDF	1348e53bd12d80efbdb71e24bdbd5d49	162706	released
b3d75023-8e8a-4374-9c0a-7a112f28b850	TCGA-BH-A0RX.57359A9F-7E5A-4599-918C-A95DCF0D9479.PDF	a52212916dd080f14f72ff872942fef6	81654	released
ee510540-850a-42c1-9b25-7fd768dac541	TCGA-A8-A07L.5D93AE27-79A0-4809-AE7C-54814CED0851.PDF	3c79ca7137628e180519b23a16f7b98a	52580	released
08104942-1ebb-4c07-9b39-cdeb1a7bcf85	TCGA-E2-A14P.FD8CDFD9-6DCF-4CE1-9BB1-A7FF568EE53C.PDF	41e8b855f459224e4e3db3186239cb17	277817	released
fb209647-9f0b-4ad0-ab79-85205aeb405e	TCGA-BH-A0HX.8C4FEB77-99B6-4C73-9751-508953A874DC.PDF	13a5c373e1c77a2187ff5277f8ac0ee3	100824	released
e18b4c33-e3c7-48df-a42c-3fb60e1a96fe	TCGA-C8-A27A.4CC1413A-5D03-4BE4-91E5-80B578CE7DFA.PDF	b1ccca2f24f80e1fedcc989634c28f6f	361899	released
1136be39-19e8-4471-b689-da9531a177a8	TCGA-A8-A085.64F84FF4-A477-4E1E-B4BB-E5614517229E.PDF	7fae72b04265012b0be07a46f8326171	83477	released
8890d2ff-a370-4771-9e7c-ee5bd328fbbe	TCGA-A2-A25D.BE63B06A-E3E0-4E00-9B9F-5E7DE8852E07.PDF	f66285207a86de6a4d217189d91aa0e0	204153	released
52dea15c-6990-41de-9910-cc23e0318688	TCGA-BH-A201.6AE92F6F-E29D-43B6-AF1E-F15720C1AAE8.PDF	b167e8c744acb9dc6bfe4377eb907462	112252	released
8a1894e8-00b7-4ad7-abe7-99b11bfd90c6	TCGA-AR-A5QP.F2409024-D848-4B02-A371-92BEA1105EC4.PDF	0fad90998d1d17e69c27164610d89dfc	58750	released
1c2bf79c-22fe-49cd-99a1-8f03f9ab42fa	TCGA-EW-A1OV.88E39E13-8ADC-481A-992E-610B3BEBCBD4.PDF	5a86d447685c4a6813730ecf4fd12987	199236	released
111bf3ba-7c79-427f-b9c5-30b61f393fd5	TCGA-AR-A24V.468CD293-C9F7-43C6-A40A-18FCDD22F6AA.PDF	94fb9bfd929cedced1de40a6a31850fc	59143	released
d8786482-0edb-44ea-a907-96bb72378907	TCGA-E9-A1NE.CF6E29A2-FAE6-45BB-B625-33877887A89E.PDF	bfccbee649f304b6f742c2037e371b4c	46195	released
e85436a0-a822-44ba-90f4-819410d95e5b	TCGA-AR-A2LO.E5B6771D-450A-49AD-AEBC-7FC056BFCDBE.PDF	0d43ff008ac886c9206e276370aea376	53021	released
707c9763-b744-4d39-83fb-7df5093c6916	TCGA-D8-A27V.E5011BD1-E1DE-4A47-BF3C-66BA1E0B84DC.PDF	16f1120bf5deb3ce60a89c0272d234b6	58014	released
48c2188c-5734-4a16-a424-32bf00ffd622	TCGA-A2-A0YF.C4C7D190-F0EC-4A70-8136-534EA3419217.PDF	7ae89889cdd441e1ed1be9c17e506245	255731	released
b855943d-db71-4381-9392-9d68faeb6986	TCGA-AC-A23C.926E93B6-EF7C-4F13-824D-13D08B7F7938.PDF	f78758be8c0d4434e770eda7fc681120	430643	released
151204f2-a4ca-4b8a-ac16-ea72b07ec9b2	TCGA-C8-A12P.F04324BB-F0B1-4948-9189-7833646029F1.PDF	2413de1a9794e024729830f227155207	213200	released
47ca74de-fb79-4810-917f-3160b9fe2af9	TCGA-E9-A1N8.4F15F8D6-9F34-4A61-A006-E5E7A2E68207.PDF	5b49ef5b6f919ac8a8107220ae1cb46a	51235	released
449424f9-fda7-48eb-936c-1c5f90bb54dc	TCGA-OL-A66L.B8C192A7-E530-4301-B4D3-FF528A230260.PDF	cb039778c25e4ba1119730aa221bfc12	144494	released
310defb3-5301-453f-b2c8-016c4af6b1be	TCGA-A8-A0AD.BD2AE048-BE93-4421-AD3E-BE6F9646484F.PDF	f1e57a6fb21f165efcaac52d8559d309	50958	released
ef355091-e27f-4f25-a0f3-a93ea82a486b	TCGA-A7-A26I.CCE33A95-774E-4242-B2A1-05FF002ED1D9.PDF	e1041205d1891f897d26a2196e57a0b7	109014	released
417e2a85-fcfb-4b92-aad2-2c495779ce8e	TCGA-E2-A105.252A2D12-EC16-459E-8486-7814FF39E6C2.PDF	e376475bfe9d24fcbc13d27a7bfc9c37	220849	released
435872d4-adc7-42e4-bfae-8d86f4fd16db	TCGA-GM-A2DD.E7B75FEC-1706-42C1-8906-B17FE4440161.PDF	b1375ae543242473b76cb5dc174cf97d	260659	released
a35a09a8-05b3-4077-b108-33c61caab5e3	TCGA-A2-A0T4.5B685F7F-917D-41BA-A7AB-D0E15D457BC5.PDF	cf8665227908797986728a2ba62c454d	209877	released
b6a88574-33d4-4da7-bf1f-da786517efde	TCGA-Z7-A8R6.9A5C8EDF-9243-4F55-9036-A400CF3F4CC1.PDF	dff60f47c5e8595418f5ac759d71aaa7	291659	released
3e1fd52b-87da-4a30-ab68-de3649ced69f	TCGA-A8-A09A.5A6E0F10-758E-4DC1-A5C7-57D5DF9B25EF.PDF	4a74fb5820879d78209fe9e1c2959764	43301	released
ceb7ca37-6fa9-4498-9880-cfdcc0a69894	TCGA-A2-A0YL.AB083371-A2AB-4F57-8FBF-0DB2C91CEDDE.PDF	b055860618d8a3880e0e19d76c00dc69	313735	released
a132bdd1-3ed5-4d64-8638-21c73918a94e	TCGA-E9-A2JT.C70325C1-54EB-41BF-B77C-D92FADA8D23E.PDF	d77f74274eee15438ab34044d96b1f4a	50677	released
16880b6b-01c4-4e5c-bea7-69aafde63eec	TCGA-A8-A07B.F24A752C-1AAE-4C70-B6D4-DD0E8C89D9AA.PDF	d5adae4d7e8a4fe9800ef6a8099fe426	44159	released
7397e509-b9af-4e03-a0cc-c40fbfdcb71d	TCGA-E2-A1IL.E0CCE6AD-38A6-446C-ACF7-358C1DFC59F8.PDF	878ee8fe93ee055dd43fe9c27efd0a5d	168147	released
e54fba3d-4e1a-4ab9-aa58-319756bbf1b4	TCGA-AC-A2FM.83BA3E82-E8E4-4A70-ADEE-A1360940EECE.PDF	315f88428a5f0e3cd8d2840e9d219521	101467	released
8c3b0ca6-38b7-47bc-b64a-c048cc6f3956	TCGA-E2-A1AZ.4E233F7D-035A-44A0-A5B6-6248357EB7B2.PDF	b447431e70e0ea872c8525e258fa5b7b	135966	released
495f08d0-9bae-47d1-904c-1bb8d36e2aee	TCGA-BH-A0HQ.A76A272F-675E-4E56-8761-96B71419A012.PDF	5dbe112ff5765147024ebca3f9c30355	112011	released
095b555f-930f-4d4a-b237-dcdc95acd5c8	TCGA-AO-A0JF.D58E5D64-B5B9-4487-8E46-225AE3617C14.PDF	ec28b7e79166f8c7099f82429660c1e0	772269	released
